iter	Logloss
0	0.6297863386
1	0.5591345031
2	0.499798571
3	0.4449874073
4	0.4041010628
5	0.372087845
6	0.3346676082
7	0.2999693756
8	0.275684554
9	0.2547446908
10	0.2344312604
11	0.2135077226
12	0.1959789041
13	0.1805634369
14	0.1694172059
15	0.1529720852
16	0.1427115552
17	0.1350170134
18	0.1237420949
19	0.1170663888
20	0.1084527671
21	0.1019813103
22	0.09712607087
23	0.08897456717
24	0.08401879273
25	0.07922763248
26	0.07548643705
27	0.07117521186
28	0.06770007921
29	0.06430775085
30	0.06029978143
31	0.05602285653
32	0.05198962047
33	0.05030285907
34	0.04594886875
35	0.04381375745
36	0.04212760353
37	0.04049734573
38	0.03880050425
39	0.03731066429
40	0.03591707939
41	0.03365269303
42	0.03280686251
43	0.03212603874
44	0.03087979331
45	0.02951780491
46	0.02876451897
47	0.02732682073
48	0.02670747623
49	0.02547874464
50	0.02435211508
51	0.02380232352
52	0.02318079693
53	0.02248207287
54	0.02143596741
55	0.02089812019
56	0.0199320505
57	0.01954305722
58	0.01909240977
59	0.01857022067
60	0.0179429821
61	0.01748923861
62	0.01715674235
63	0.01644570304
64	0.01594096401
65	0.01567782892
66	0.01506945865
67	0.01469176394
68	0.01440160139
69	0.01423813046
70	0.01380881221
71	0.01364233091
72	0.01332553742
73	0.01303795228
74	0.01281007535
75	0.01252452544
76	0.01222680444
77	0.01199963561
78	0.01180608256
79	0.01165826442
80	0.0113715004
81	0.01119135905
82	0.0104770502
83	0.01025782428
84	0.009965290526
85	0.009756438182
86	0.009557863329
87	0.009433416028
88	0.009234047866
89	0.009052625399
90	0.008745748188
91	0.008569167501
92	0.008410050928
93	0.008295717216
94	0.008183766509
95	0.00804257322
96	0.007971705516
97	0.007857724679
98	0.007782971102
99	0.007619011438
100	0.007532495872
101	0.007381309435
102	0.007302443639
103	0.007210822103
104	0.007098502253
105	0.006985234039
106	0.006900712096
107	0.006796235566
108	0.006713076555
109	0.006643715749
110	0.00652374409
111	0.006453201024
112	0.006355163994
113	0.006238501398
114	0.00611747806
115	0.006022179533
116	0.005940027006
117	0.005853477656
118	0.005679190587
119	0.005587711157
120	0.005465127796
121	0.005391994988
122	0.005337975251
123	0.005271897348
124	0.00518741346
125	0.005148663258
126	0.005055158201
127	0.004957388074
128	0.004898556874
129	0.004821116559
130	0.004736424812
131	0.004642291847
132	0.004552837665
133	0.004443261409
134	0.004364933311
135	0.00429472028
136	0.004227863387
137	0.004198809915
138	0.004109708367
139	0.004059125638
140	0.004021472568
141	0.003983396864
142	0.00393717076
143	0.00389382377
144	0.003859103268
145	0.003818179784
146	0.00377409334
147	0.003748459279
148	0.003711526778
149	0.003684269899
150	0.003657399483
151	0.003633008711
152	0.003596411104
153	0.003561466888
154	0.003529874952
155	0.003502015362
156	0.003475655649
157	0.003450920664
158	0.003416608715
159	0.003377180355
160	0.003354878498
161	0.003324184618
162	0.003299979496
163	0.00328143279
164	0.00325375417
165	0.003232523369
166	0.003200549135
167	0.003177090933
168	0.003151002089
169	0.003127322678
170	0.003108809998
171	0.003090324609
172	0.003072948167
173	0.003054311794
174	0.003035220385
175	0.00301939096
176	0.002996483723
177	0.002972762669
178	0.002955892071
179	0.002937653044
180	0.002918256119
181	0.002901520046
182	0.002882169889
183	0.002867249413
184	0.002831502319
185	0.002809968172
186	0.002797606327
187	0.002784583151
188	0.002769451575
189	0.002755965902
190	0.002741695516
191	0.002730118614
192	0.00271627856
193	0.002704033578
194	0.002690919141
195	0.002677733861
196	0.002664302154
197	0.002648377304
198	0.002635295448
199	0.002622053017
200	0.002592924573
201	0.00257732934
202	0.002567135551
203	0.002557180547
204	0.002545075669
205	0.002533624334
206	0.002521701867
207	0.002511623182
208	0.002499862703
209	0.002490548936
210	0.002478985199
211	0.002467622151
212	0.002458150754
213	0.0024488811
214	0.002437886349
215	0.002428417289
216	0.002418791934
217	0.002409582533
218	0.002398995121
219	0.002388872921
220	0.00237871698
221	0.002368828988
222	0.00235882111
223	0.002348905161
224	0.002338925325
225	0.002328955887
226	0.002320659232
227	0.002311248892
228	0.002301562038
229	0.002292422263
230	0.002284158439
231	0.002274880954
232	0.002266601134
233	0.002258574058
234	0.002249673413
235	0.00224075874
236	0.002221928235
237	0.002213285071
238	0.00220267801
239	0.002192503916
240	0.002184184618
241	0.002175806107
242	0.002162722291
243	0.002154555597
244	0.002146526959
245	0.002138528321
246	0.002130554661
247	0.002122693459
248	0.002114753471
249	0.002106975164
250	0.002100043378
251	0.00209253306
252	0.002084982172
253	0.002071208548
254	0.002059070537
255	0.002042930956
256	0.00203127341
257	0.002020013129
258	0.002012901623
259	0.002006157759
260	0.001999836358
261	0.001992879372
262	0.001986696279
263	0.001980025194
264	0.001971822208
265	0.001965214794
266	0.001959270711
267	0.001946421189
268	0.001940570553
269	0.001934778201
270	0.001928319881
271	0.001914555066
272	0.001903261061
273	0.001892024683
274	0.001882260018
275	0.001871370139
276	0.00186545548
277	0.001858247489
278	0.001848376625
279	0.001842534076
280	0.001833460306
281	0.001823186245
282	0.001817887578
283	0.001807846573
284	0.001802848858
285	0.001797352667
286	0.001792430861
287	0.001782612033
288	0.001772541733
289	0.00176063254
290	0.001752311258
291	0.00174289305
292	0.00173137847
293	0.001723973244
294	0.001715856251
295	0.001707037928
296	0.001698408506
297	0.0016900975
298	0.001681261238
299	0.001673001773
