feature,mean_abs_shap
population_density,1.1669556613898524
pop_density_risk,1.13666232323954
poverty_rate,1.0672028662893738
poverty_vulnerability,0.9750841153717169
slope_index,0.7105205623946789
soil_permeability_inv,0.5819871401726674
rainfall_mm,0.25194373808499543
water_access,0.22655846695907486
rainfall_anomaly_z,0.21135713207414528
water_deficit,0.1767079647368517
rainfall_risk,0.17295712281709474
flood_infra_interaction,0.14520007090750078
drainage_vulnerability,0.11459810943273281
humidity_risk,0.11199557092276809
landslide_count,0.1099803016231573
green_deficit,0.10716021405694415
drainage_quality,0.09888423410036842
rth_ratio,0.08299392673365433
green_space_ratio,0.0820152083116742
health_facility_norm,0.0612657956715474
humidity_pct,0.05991048437092358
electricity_deficit,0.05988187200384685
unemployment_rate,0.049472682104829024
unemployment_vulnerability,0.048539750902801986
health_access_index,0.04389738337292226
building_density,0.0428737481743023
temperature_c,0.039087750389936324
bpbd_post_proximity,0.038458809809271056
temp_deviation,0.03785034991370038
avg_damage_idr,0.037202902049103474
electricity_access,0.03615659762515357
road_damage_ratio,0.036025327203122966
infra_index,0.03423867685084275
density_risk,0.030422175289276647
education_deficit,0.028185707323365682
health_deficit,0.026958479745513936
flood_freq_norm,0.024271422641219707
education_index,0.023448492165818652
road_vulnerability,0.022182447384324355
flood_count,0.0177782652097056
wind_speed_kmh,0.016895709051472016
total_disasters,0.016847642957832542
n_dimensions_critical,0.011994921767878265
