column,dtype,non_null,mean
kelurahan,object,151,
rainfall_mm,float64,151,186.27183718164096
temperature_c,float64,151,24.642025229052813
humidity_pct,float64,151,78.56650369104811
wind_speed_kmh,float64,151,6.611777643136018
rainfall_anomaly_z,float64,151,-0.010080197232061758
poverty_rate,float64,151,0.03327723691479783
unemployment_rate,float64,151,0.02523250648415077
water_access,float64,151,0.8044913322685004
electricity_access,float64,151,0.9283767511105658
population_density,float64,151,17642.24224861387
health_access_index,float64,151,0.6463748377210886
education_index,float64,151,0.6578379588370845
road_damage_ratio,float64,151,0.2805475061336903
drainage_quality,float64,151,0.5814834571289001
building_density,float64,151,0.6493768791099883
green_space_ratio,float64,151,0.2655805620349495
flood_count,float64,151,2.794701986754967
landslide_count,float64,151,0.9933774834437086
total_disasters,float64,151,5.046357615894039
avg_damage_idr,float64,151,307891872.9290359
rainfall_risk,float64,151,0.48446777375924865
temp_deviation,float64,151,0.15872960036391626
humidity_risk,float64,151,0.46416259227620255
flood_freq_norm,float64,151,0.39924314090796054
climate_score,float64,151,0.37665077682683196
road_vulnerability,float64,151,0.2805475061336903
drainage_vulnerability,float64,151,0.41851654287109985
density_risk,float64,151,0.6493768791099883
green_deficit,float64,151,0.7344194379650505
infra_score,float64,151,0.5207150915199572
infra_index,float64,151,0.47928490848004274
poverty_vulnerability,float64,151,0.3180005592805996
unemployment_vulnerability,float64,151,0.3761793055063939
water_deficit,float64,151,0.1955086677314995
electricity_deficit,float64,151,0.0716232488894343
health_deficit,float64,151,0.35362516227891133
education_deficit,float64,151,0.34216204116291543
pop_density_risk,float64,151,0.2887740568563603
sosek_score,float64,151,0.27798186310087347
slope_index,float64,151,0.37073921282020866
soil_permeability_inv,float64,151,0.493627286229426
health_facility_norm,float64,151,0.6463748377210886
bpbd_post_proximity,float64,151,0.4259029413557118
rth_ratio,float64,151,0.2655805620349495
kerawanan_score,float64,151,0.0898579746360065
kerentanan_score,float64,151,0.020149144188466545
kapasitas_score,float64,151,0.4459527803705834
flood_infra_interaction,float64,151,0.25072410502168674
cascading_score,float64,151,0.001806719260653519
n_dimensions_critical,int64,151,1.490066225165563
uss_bnpb_raw,float64,151,0.00420360921380624
uss_linear_norm,float64,151,46.394239077317565
ussScore,float64,151,50.33112582781457
ussZone,category,151,
ussLabel,int64,151,0.304635761589404
